Borough_Name,District_Name,Borough_Type,OKATO_Borough_Code,OKTMO_District_Code
Академический,ЮЗАО,Муниципальный округ,45293554,45397000
Алексеевский,СВАО,Муниципальный округ,45280552,45349000
Алтуфьевский,СВАО,Муниципальный округ,45280554,45350000
Арбат,ЦАО,Муниципальный округ,45286552,45374000
Аэропорт,САО,Муниципальный округ,45277553,45333000
Бабушкинский,СВАО,Муниципальный округ,45280556,45351000
Басманный,ЦАО,Муниципальный округ,45286555,45375000
Беговой,САО,Муниципальный округ,45277556,45334000
Бескудниковский,САО,Муниципальный округ,45277559,45335000
Бибирево,СВАО,Муниципальный округ,45280558,45352000
Бирюлёво Восточное,ЮАО,Муниципальный округ,45296553,45911000
Бирюлёво Западное,ЮАО,Муниципальный округ,45296555,45912000
Братеево,ЮАО,Муниципальный округ,45296557,45913000
Бутырский,СВАО,Муниципальный округ,45280561,45353000
Вешняки,ВАО,Муниципальный округ,45263555,45302000
Войковский,САО,Муниципальный округ,45277565,45336000
Восточное Дегунино,САО,Муниципальный округ,45277568,45337000
Восточное Измайлово,ВАО,Муниципальный округ,45263558,45303000
Выхино-Жулебино,ЮВАО,Муниципальный округ,45290554,45385000
Гагаринский,ЮЗАО,Муниципальный округ,45293558,45398000
Головинский,САО,Муниципальный округ,45277571,45338000
Гольяново,ВАО,Муниципальный округ,45263564,45305000
Даниловский,ЮАО,Муниципальный округ,45296559,45914000
Дмитровский,САО,Муниципальный округ,45277574,45339000
Донской,ЮАО,Муниципальный округ,45296561,45915000
Дорогомилово,ЗАО,Муниципальный округ,45268554,45318000
Замоскворечье,ЦАО,Муниципальный округ,45286560,45376000
Западное Дегунино,САО,Муниципальный округ,45277577,45340000
Зюзино,ЮЗАО,Муниципальный округ,45293562,45901000
Зябликово,ЮАО,Муниципальный округ,45296565,45916000
Ивановское,ВАО,Муниципальный округ,45263567,45306000
Измайлово,ВАО,Муниципальный округ,45263570,45307000
Капотня,ЮВАО,Муниципальный округ,45290558,45386000
Коньково,ЮЗАО,Муниципальный округ,45293566,45902000
Коптево,САО,Муниципальный округ,45277580,45341000
Котловка,ЮЗАО,Муниципальный округ,45293570,45903000
Красносельский,ЦАО,Муниципальный округ,45286565,45378000
Крылатское,ЗАО,Муниципальный округ,45268560,45319000
Кузьминки,ЮВАО,Муниципальный округ,45290562,45387000
Кунцево,ЗАО,Муниципальный округ,45268562,45320000
Левобережный,САО,Муниципальный округ,45277583,45342000
Лефортово,ЮВАО,Муниципальный округ,45290564,45388000
Лианозово,СВАО,Муниципальный округ,45280563,45354000
Ломоносовский,ЮЗАО,Муниципальный округ,45293574,45904000
Лосиноостровский,СВАО,Муниципальный округ,45280565,45355000
Люблино,ЮВАО,Муниципальный округ,45290568,45389000
Марфино,СВАО,Муниципальный округ,45280567,45356000
Марьина Роща,СВАО,Муниципальный округ,45280569,45357000
Марьино,ЮВАО,Муниципальный округ,45290572,45390000
Метрогородок,ВАО,Муниципальный округ,45263581,45311000
Мещанский,ЦАО,Муниципальный округ,45286570,45379000
Можайский,ЗАО,Муниципальный округ,45268569,45321000
Москворечье-Сабурово,ЮАО,Муниципальный округ,45296569,45917000
Нагатино-Садовники,ЮАО,Муниципальный округ,45296571,45918000
Нагатинский Затон,ЮАО,Муниципальный округ,45296573,45919000
Нагорный,ЮАО,Муниципальный округ,45296575,45920000
Нижегородский,ЮВАО,Муниципальный округ,45290578,45392000
Новогиреево,ВАО,Муниципальный округ,45263576,45309000
Новокосино,ВАО,Муниципальный округ,45263579,45310000
Обручевский,ЮЗАО,Муниципальный округ,45293578,45905000
Орехово-Борисово Северное,ЮАО,Муниципальный округ,45296577,45921000
Орехово-Борисово Южное,ЮАО,Муниципальный округ,45296579,45922000
Останкинский,СВАО,Муниципальный округ,45280572,45358000
Отрадное,СВАО,Муниципальный округ,45280574,45359000
Очаково-Матвеевское,ЗАО,Муниципальный округ,45268579,45323000
Перово,ВАО,Муниципальный округ,45263583,45312000
Печатники,ЮВАО,Муниципальный округ,45290582,45393000
Покровское-Стрешнево,СЗАО,Муниципальный округ,45283569,45368000
Преображенское,ВАО,Муниципальный округ,45263594,45316000
Пресненский,ЦАО,Муниципальный округ,45286575,45380000
Проспект Вернадского,ЗАО,Муниципальный округ,45268581,45324000
Раменки,ЗАО,Муниципальный округ,45268584,45325000
Ростокино,СВАО,Муниципальный округ,45280577,45360000
Рязанский,ЮВАО,Муниципальный округ,45290586,45394000
Савёловский,САО,Муниципальный округ,45277586,45344000
Свиблово,СВАО,Муниципальный округ,45280580,45361000
Северное Измайлово,ВАО,Муниципальный округ,45263585,45313000
Северное Медведково,СВАО,Муниципальный округ,45280583,45362000
Северное Тушино,СЗАО,Муниципальный округ,45283573,45369000
Сокол,САО,Муниципальный округ,45277589,45345000
Соколиная Гора,ВАО,Муниципальный округ,45263588,45314000
Сокольники,ВАО,Муниципальный округ,45263591,45315000
Строгино,СЗАО,Муниципальный округ,45283577,45370000
Таганский,ЦАО,Муниципальный округ,45286580,45381000
Тверской,ЦАО,Муниципальный округ,45286585,45382000
Текстильщики,ЮВАО,Муниципальный округ,45290590,45395000
Тёплый Стан,ЮЗАО,Муниципальный округ,45293586,45907000
Тимирязевский,САО,Муниципальный округ,45277592,45346000
Тропарёво-Никулино,ЗАО,Муниципальный округ,45268592,45327000
Филёвский Парк,ЗАО,Муниципальный округ,45268595,45328000
Фили-Давыдково,ЗАО,Муниципальный округ,45268597,45329000
Хамовники,ЦАО,Муниципальный округ,45286590,45383000
Ховрино,САО,Муниципальный округ,45277595,45347000
Хорошёво-Мнёвники,СЗАО,Муниципальный округ,45283582,45371000
Хорошёвский,САО,Муниципальный округ,45277598,45348000
Царицыно,ЮАО,Муниципальный округ,45296590,45923000
Черёмушки,ЮЗАО,Муниципальный округ,45293590,45908000
Чертаново Северное,ЮАО,Муниципальный округ,45296593,45924000
Чертаново Центральное,ЮАО,Муниципальный округ,45296595,45925000
Чертаново Южное,ЮАО,Муниципальный округ,45296597,45926000
Щукино,СЗАО,Муниципальный округ,45283587,45372000
Южное Медведково,СВАО,Муниципальный округ,45280594,45364000
Южное Тушино,СЗАО,Муниципальный округ,45283593,45373000
Южнопортовый,ЮВАО,Муниципальный округ,45290594,45396000
Якиманка,ЦАО,Муниципальный округ,45286596,45384000
Ярославский,СВАО,Муниципальный округ,45280597,45365000
Ясенево,ЮЗАО,Муниципальный округ,45293598,45910000
